연도별,시도,구군,해수욕장명,규모(제곱미터),방문자수(천명),개장일,폐장일,비고
2015,부산광역시 ,서구,송도해수욕장,48000,7530,06월 01일,09월 10일,
2015,부산광역시 ,해운대구,해운대해수욕장,127500,16085,06월 01일,09월 10일,
2015,부산광역시 ,해운대구 ,송정해수욕장,72000,4702,06월 01일,09월 10일,
2015,부산광역시 ,수영구,광안리해수욕장,82000,13108,07월 01일,09월 10일,
2015,부산광역시 ,사하구 ,다대포해수욕장,128000,4332.3,07월 01일,08월 31일,
2015,부산광역시 ,기장군,일광해수욕장,15750,249.2,07월 01일,08월 31일,
2015,부산광역시 ,기장군,임랑해수욕장 ,10650,196.1,07월 01일,08월 31일,
2016,부산광역시 ,서구,송도해수욕장,48000,9480,06월 01일,09월 10일,
2016,부산광역시 ,해운대구,해운대해수욕장,120000,14587,06월 01일,09월 10일,
2016,부산광역시 ,해운대구 ,송정해수욕장,54000,4467,06월 01일,09월 10일,
2016,부산광역시 ,수영구,광안리해수욕장,82000,11956,07월 01일,09월 10일,
2016,부산광역시 ,사하구 ,다대포해수욕장,128000,5670,07월 01일,08월 31일,
2016,부산광역시 ,기장군,일광해수욕장,15750,290.5,07월 01일,08월 31일,
2016,부산광역시 ,기장군,임랑해수욕장 ,10650,370.17,07월 01일,08월 31일,
2017,부산광역시 ,서구,송도해수욕장,48000,10551,06월 01일,09월 10일,
2017,부산광역시 ,해운대구,해운대해수욕장,120000,13709,06월 01일,08월 31일,야간개장 07-25 ~ 08-08
2017,부산광역시 ,해운대구 ,송정해수욕장,54000,4305,06월 01일,08월 31일,
2017,부산광역시 ,수영구,광안리해수욕장,82000,12128,07월 01일,09월 10일,
2017,부산광역시 ,사하구 ,다대포해수욕장,128000,7320,07월 01일,08월 31일,
2017,부산광역시 ,기장군,일광해수욕장,15750,278,07월 01일,08월 31일,
2017,부산광역시 ,기장군,임랑해수욕장 ,10650,266,07월 01일,08월 31일,
2018,부산광역시 ,서구,송도해수욕장,48000,8600,06월 01일,08월 31일,
2018,부산광역시 ,해운대구,해운대해수욕장,120000,11260,06월 01일,08월 31일,야간개장 07-27 ~ 08-12
2018,부산광역시 ,해운대구 ,송정해수욕장,54000,4490,06월 01일,08월 31일,
2018,부산광역시 ,수영구,광안리해수욕장,82000,9335,07월 01일,08월 31일,
2018,부산광역시 ,사하구 ,다대포해수욕장,128000,6900,07월 01일,08월 31일,
2018,부산광역시 ,기장군,일광해수욕장,15750,305,07월 01일,08월 31일,
2018,부산광역시 ,기장군,임랑해수욕장 ,10650,270,07월 01일,08월 31일,
2019,부산광역시 ,서구,송도해수욕장,48000,6800,06월 01일,08월 31일,
2019,부산광역시 ,해운대구,해운대해수욕장,120000,11202,06월 01일,08월 31일,야간개장 07-26 ~ 08-11
2019,부산광역시 ,해운대구 ,송정해수욕장,54000,4140,06월 01일,08월 31일,
2019,부산광역시 ,수영구,광안리해수욕장,72000,8450,07월 01일,08월 31일,
2019,부산광역시 ,사하구 ,다대포해수욕장,128000,5950,07월 01일,08월 31일,
2019,부산광역시 ,기장군,일광해수욕장,15750,209,07월 01일,08월 31일,
2019,부산광역시 ,기장군,임랑해수욕장 ,10650,195,07월 01일,08월 31일,
2020,부산광역시 ,서구,송도해수욕장,48000,1820,07월 01일,08월 31일,08-21 대여시설 조기철거
2020,부산광역시 ,해운대구,해운대해수욕장,120000,6893,06월 01일,08월 31일,08-21 대여시설 조기철거
2020,부산광역시 ,해운대구 ,송정해수욕장,54000,1580,06월 01일,08월 31일,08-21 대여시설 조기철거
2020,부산광역시 ,수영구,광안리해수욕장,72000,2760,07월 01일,08월 31일,08-21 대여시설 조기철거
2020,부산광역시 ,사하구 ,다대포해수욕장,128000,1397,07월 01일,08월 31일,08-21 대여시설 조기철거
2020,부산광역시 ,기장군,일광해수욕장,15750,151,07월 01일,08월 31일,08-21 대여시설 조기철거
2020,부산광역시 ,기장군,임랑해수욕장 ,10650,139,07월 01일,08월 31일,08-21 대여시설 조기철거
2021,부산광역시 ,서구,송도해수욕장,48000,1051,07월 01일,08월 31일,08-09 대여시설 조기철거
2021,부산광역시 ,해운대구,해운대해수욕장,120000,5040,06월 01일,08월 31일,08-10 대여시설 조기철거
2021,부산광역시 ,해운대구 ,송정해수욕장,54000,1276,06월 01일,08월 31일,08-10 대여시설 조기철거
2021,부산광역시 ,수영구,광안리해수욕장,82000,1230,07월 01일,08월 31일,08-10 대여시설 조기철거
2021,부산광역시 ,사하구 ,다대포해수욕장,128000,1185,07월 01일,08월 31일,08-10 대여시설 조기철거
2021,부산광역시 ,기장군,일광해수욕장,15750,72,07월 01일,08월 31일,08-10 대여시설 조기철거
2021,부산광역시 ,기장군,임랑해수욕장 ,48000,46,07월 01일,08월 31일,08-10 대여시설 조기철거
2022,부산광역시 ,서구,송도해수욕장,48000,3635,07월 01일,08월 31일,
2022,부산광역시 ,해운대구,해운대해수욕장,120000,8814,06월 02일,08월 31일,
2022,부산광역시 ,해운대구 ,송정해수욕장,54000,1973,06월 02일,08월 31일,
2022,부산광역시 ,수영구,광안리해수욕장,82000,4208,07월 01일,08월 31일,
2022,부산광역시 ,사하구 ,다대포해수욕장,128000,2001,07월 01일,08월 31일,
2022,부산광역시 ,기장군,일광해수욕장,15750,233,07월 01일,08월 31일,
2022,부산광역시 ,기장군,임랑해수욕장 ,48000,143,07월 01일,08월 31일,
